OrderID,FromAddress,ToAddress,Status,Price
25,kiev,london,Completed,1216.8
26,kiev,london,Completed,1216.8
27,london,kiev,Completed,1223.25
28,kiev,vinnysia,Completed,134.65
29,kiev,vinnysia,Completed,134.65
30,kiev,london,Completed,1209.35
31,kiev,london,Completed,1209.35
32,kiev,vinnytsia,Completed,134.65
33,kiev,london,Completed,1209.35
34,kiev,london,Completed,1209.35
35,kiev,paris,Completed,1185.75
36,lisbon,paris,Completed,869.3
37,kiev,vinnytsia,Completed,134.65
38,kiev,paris,Completed,1185.75
